记录键,生成时间,优先级,分数,状态,责任方,领域,事项,下一步,理由,来源,证据,首次出现,最近出现,提醒次数,项目过滤
advice:d71a6257eede,2026-06-23 20:33:51 +0800,P0,92,待处理,Codex,代码质量,先处理 个人数据资产系统 代码质量审视：运行与本次变更最接近的测试、lint、typecheck 或 smoke。,由 Codex 先补验证、拆分提交边界或进入正式 code review；不要继续堆功能。,个人数据资产系统 代码质量等级为 红色。,code-quality-review,85_运行记录/代码质量审视-my-mind-2026-06-23-2033.md,2026-06-19 20:36:06 +0800,2026-06-23 20:33:51 +0800,0,all
advice:12ff977184bb,2026-06-23 20:33:51 +0800,P1,88,待处理,Codex/用户,决策审视,复核 edu-agent 决策审视：把任务清单压缩成 3 个以内的本周最小动作。,由 Codex 给出反方观点、证据和最小可逆动作；需要用户取舍时交给 OpenClaw 短消息确认。,edu-agent 决策审视风险等级为 高。,decision-review,85_运行记录/决策审视-edu-agent-2026-06-23-2033.md,2026-06-23 20:33:51 +0800,2026-06-23 20:33:51 +0800,0,all
advice:7d5271346972,2026-06-23 20:33:51 +0800,P1,88,待处理,Codex/用户,决策审视,复核 个人数据资产系统 决策审视：把任务清单压缩成 3 个以内的本周最小动作。,由 Codex 给出反方观点、证据和最小可逆动作；需要用户取舍时交给 OpenClaw 短消息确认。,个人数据资产系统 决策审视风险等级为 高。,decision-review,85_运行记录/决策审视-my-mind-2026-06-23-2033.md,2026-06-19 01:11:07 +0800,2026-06-23 20:33:51 +0800,0,all
advice:8600d62b6dba,2026-06-23 20:33:51 +0800,P1,86,待提醒,OpenClaw/用户,候选确认,分批呈现 6 条待确认候选，先处理高优先级项。,OpenClaw 读取待确认队列，发送候选标题、类型、候选文件和可回复动作。,候选已经生成但尚未决定确认转正、继续核验、调整分类或跳过；样例：OpenAI团队成员分享的Codex神级Prompt、如何打造高级感视觉？这份提示词建议收藏、黄仁勋给年轻人的建议：要学习如何用AI #dou上热门 #英语口语 #英语演讲 #英语 #黄仁勋。,backend-control,"75_提示词库/萃取与整理/OpenAI团队成员分享的Codex神级Prompt.md
75_提示词库/前端与视觉/如何打造高级感视觉？这份提示词建议收藏.md
75_提示词库/收集与录入/黄仁勋给年轻人的建议：要学习如何用AI #dou上热门 #英语口语 #英语演讲 #英语 #黄仁勋.md
20_资料库/管理与组织/2026-06-14 真正的一把手，是管理经营领袖三位一体#团队管理#管理者干货#人才管理#管理决策.md
20_资料库/管理与组织/2026-06-14 读懂管理底层逻辑，轻松激活团队.md",2026-06-14 23:01:30 +0800,2026-06-23 20:33:51 +0800,0,all
advice:5c37d5742d88,2026-06-23 20:33:51 +0800,P1,80,待处理,Codex,项目推进,整理 edu-agent 工作区，按主题分批提交或暂存。,由 Codex 先做只读整理，区分功能变更、配置风险、运行产物和文档，再分批提交。,最新项目巡检将其列为风险：存在近期 commit 且工作区仍有大量未提交变更，项目进度可能横跨多个未闭合批次。,project-progress,85_运行记录/项目进展巡检-edu-agent-2026-06-23-2033.md,2026-06-14 19:52:09 +0800,2026-06-23 20:33:51 +0800,0,all
advice:5dfb83fc0591,2026-06-23 20:33:51 +0800,P1,80,待处理,Codex,项目推进,整理 个人数据资产系统 工作区，按主题分批提交或暂存。,由 Codex 先做只读整理，区分功能变更、配置风险、运行产物和文档，再分批提交。,最新项目巡检将其列为风险：工作区变更较多，直接提交会混入自动刷新、运行记录和真正设计改动，建议分批整理。,project-progress,85_运行记录/项目进展巡检-my-mind-2026-06-23-2033.md,2026-06-14 19:52:09 +0800,2026-06-23 20:33:51 +0800,0,all
advice:4ecaf7e11357,2026-06-23 20:33:51 +0800,P1,78,待处理,Codex,质量门禁,优先处理 12 条低质量或需核验解析。,运行 parse-quality-repair；对仍需人工核验的条目生成最小补充问题。,低质量解析不应进入前台推送或长期知识转正；样例：Agentic AI: What Leaders Wish They Knew Sooner、Codex is becoming a productivity tool for everyone、How Endava is redesigning software delivery around AI agents。,backend-control,"00_收件箱/2026-06-12 前沿情报 - Agentic AI What Leaders Wish They Knew Sooner.md
00_收件箱/2026-06-12 前沿情报 - Codex is becoming a productivity tool for everyone.md
00_收件箱/2026-06-12 前沿情报 - How Endava is redesigning software delivery around AI agents.md
00_收件箱/2026-06-13 前沿情报 - Codex for Finance Faster Reports, Dashboards, and Decisions.md
00_收件箱/2026-06-13 前沿情报 - The CODE Challenge Finale When the system has to pay off.md",2026-06-15 14:04:24 +0800,2026-06-23 20:33:51 +0800,0,all
advice:9adc8bda5c1d,2026-06-23 20:33:51 +0800,P1,78,待处理,Codex,代码质量,先处理 edu-agent 代码质量审视：后端变更至少运行相关单测或接口 smoke；前端变更至少运行 lint/build 或目标页面 smoke。,由 Codex 先补验证、拆分提交边界或进入正式 code review；不要继续堆功能。,edu-agent 代码质量等级为 黄色。,code-quality-review,85_运行记录/代码质量审视-edu-agent-2026-06-23-2033.md,2026-06-19 01:11:07 +0800,2026-06-23 20:33:51 +0800,0,all
advice:58b07e3b03ab,2026-06-23 20:33:51 +0800,P1,76,待提醒,OpenClaw/用户,前台协作,36 条前台内容已推送但仍未反馈，可由 OpenClaw 分批展示，不要求一次处理完。,由 OpenClaw 拆成多条短消息，优先给飞书知识库链接和三个动作选项。,后台总控已将该事项标为高优先级。,backend-control,85_运行记录/后台总览/飞书仪表盘数据.json#actions,2026-06-23 07:16:23 +0800,2026-06-23 20:33:51 +0800,0,all
advice:c32f9dc34aec,2026-06-23 20:33:51 +0800,P2,74,待处理,Codex,质量门禁,收敛 17 条待核验内容，阻止低质量材料进入精选。,由 Codex 运行解析质量修复或逐条补抓，再重新进入分拣/推送门禁。,待核验内容过多会污染前台推送和候选转正。,backend-control,05_流转区/40_待核验/收件箱待核验队列.md,2026-06-21 07:16:07 +0800,2026-06-23 20:33:51 +0800,0,all
