记录键,原始键,生成时间,标题,来源文件,处理状态,解析状态,内容质量,质量门禁
quality:de419914d874b5f1,00_收件箱/2026-06-12 前沿情报 - Agentic AI What Leaders Wish They Knew Sooner.md,2026-06-15 22:51:43 +0800,Agentic AI: What Leaders Wish They Knew Sooner,00_收件箱/2026-06-12 前沿情报 - Agentic AI What Leaders Wish They Knew Sooner.md,已分拣,已解析,需核验,来源仍是 RSS/Atom 摘要或截断摘录，需要补全文、字幕、OCR 或转写。
quality:3fa584f3abb33dba,00_收件箱/2026-06-12 前沿情报 - Codex is becoming a productivity tool for everyone.md,2026-06-15 22:51:43 +0800,Codex is becoming a productivity tool for everyone,00_收件箱/2026-06-12 前沿情报 - Codex is becoming a productivity tool for everyone.md,已处理,已解析,需核验,来源仍是 RSS/Atom 摘要或截断摘录，需要补全文、字幕、OCR 或转写。
quality:905de4632d9d3ef6,00_收件箱/2026-06-12 前沿情报 - How Endava is redesigning software delivery around AI agents.md,2026-06-15 22:51:43 +0800,How Endava is redesigning software delivery around AI agents,00_收件箱/2026-06-12 前沿情报 - How Endava is redesigning software delivery around AI agents.md,已处理,已解析,需核验,来源仍是 RSS/Atom 摘要或截断摘录，需要补全文、字幕、OCR 或转写。
quality:7d5fc148d089bce9,"00_收件箱/2026-06-13 前沿情报 - Codex for Finance Faster Reports, Dashboards, and Decisions.md",2026-06-15 22:51:43 +0800,"Codex for Finance: Faster Reports, Dashboards, and Decisions","00_收件箱/2026-06-13 前沿情报 - Codex for Finance Faster Reports, Dashboards, and Decisions.md",已处理,已解析,需核验,来源仍是 RSS/Atom 摘要或截断摘录，需要补全文、字幕、OCR 或转写。
quality:bd740632088a8bc9,00_收件箱/2026-06-13 前沿情报 - The CODE Challenge Finale When the system has to pay off.md,2026-06-15 22:51:43 +0800,The CODE Challenge Finale: When the system has to pay off,00_收件箱/2026-06-13 前沿情报 - The CODE Challenge Finale When the system has to pay off.md,已分拣,已解析,需核验,来源仍是 RSS/Atom 摘要或截断摘录，需要补全文、字幕、OCR 或转写。
quality:f2e19e76629bbbe9,00_收件箱/2026-06-13 前沿情报 - The Economics of AI Usage and What's Next For SaaS Benedict Evans on a16z.md,2026-06-15 22:51:43 +0800,The Economics of AI Usage and What's Next For SaaS | Benedict Evans on a16z,00_收件箱/2026-06-13 前沿情报 - The Economics of AI Usage and What's Next For SaaS Benedict Evans on a16z.md,已分拣,已解析,需核验,来源仍是 RSS/Atom 摘要或截断摘录，需要补全文、字幕、OCR 或转写。
quality:c73b6bc713bd5814,00_收件箱/2026-06-14 前沿情报 - AI in the AM — Week 1 Highlights (June 2026).md,2026-06-15 22:51:43 +0800,AI in the AM — Week 1 Highlights (June 2026),00_收件箱/2026-06-14 前沿情报 - AI in the AM — Week 1 Highlights (June 2026).md,已归档,已解析,需核验,来源仍是 RSS/Atom 摘要或截断摘录，需要补全文、字幕、OCR 或转写。
quality:c19d4c9da5c8c159,00_收件箱/2026-06-14 前沿情报 - Give Claude Your Files and Watch What Happens.md,2026-06-15 22:51:43 +0800,Give Claude Your Files and Watch What Happens,00_收件箱/2026-06-14 前沿情报 - Give Claude Your Files and Watch What Happens.md,已归档,已解析,需核验,来源仍是 RSS/Atom 摘要或截断摘录，需要补全文、字幕、OCR 或转写。
quality:e278fec0ebec0662,00_收件箱/2026-06-14 前沿情报 - How Legora Went From YC to $100M ARR in 18 Months.md,2026-06-15 22:51:43 +0800,How Legora Went From YC to $100M ARR in 18 Months,00_收件箱/2026-06-14 前沿情报 - How Legora Went From YC to $100M ARR in 18 Months.md,已归档,已解析,需核验,来源仍是 RSS/Atom 摘要或截断摘录，需要补全文、字幕、OCR 或转写。
quality:f09be66ba7da0114,00_收件箱/2026-06-14 手动输入 - 文本入库-1-2.md,2026-06-15 22:51:43 +0800,员工能力不行？管理者必做决策：换人还是培养？#团队管理 #管理者干货 #人才管理 #换人还是培养 #管理决策,00_收件箱/2026-06-14 手动输入 - 文本入库-1-2.md,已分拣,已解析,需继续解析,视频时长 08:23 超过转写上限 06:00，不应直接进入前台阅读推送。
quality:ef38e4451612f872,00_收件箱/2026-06-14 手动输入 - 文本入库-1-3.md,2026-06-15 22:51:43 +0800,「VibeCoding大赏」tsate修改个人项目 #AI #codeX #github #AI新星计划 #VibeCoding,00_收件箱/2026-06-14 手动输入 - 文本入库-1-3.md,已分拣,已解析,需核验,视频转写字数偏少，可能只抓到片段；推送时只适合快速判断。
quality:f74a123cfd6a0d03,00_收件箱/2026-06-15 前沿情报 - Conductor CEO Charlie Holtz Walks Us Through His AI Coding Setup.md,2026-06-15 22:51:43 +0800,Conductor CEO Charlie Holtz Walks Us Through His AI Coding Setup,00_收件箱/2026-06-15 前沿情报 - Conductor CEO Charlie Holtz Walks Us Through His AI Coding Setup.md,已分拣,已解析,需核验,来源仍是 RSS/Atom 摘要或截断摘录，需要补全文、字幕、OCR 或转写。
